STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2019,,65.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2020,,64.7,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2021,,64.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2022,,60.9,,bu,"break in time series, low reliability",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2023,,62.1,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2024,,62.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2015,,62.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2016,,62.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2017,,62.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2018,,63.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2019,,63.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2020,,63.9,,b,break in time series,,
