country,sex,year,employed_ths,hly_65,hly_birth,le_15_alt,le_65,le_birth,pop_total,unemp_rate,working_life_yrs,pop_15_64,pop_65p,coicop_education,coicop_hotels_rest,coicop_recreation,gov_health_exp,gov_social_exp,nace_q_va,vacancy_count,vacancy_rate,covid,statutory_retirement_age,required_service_years,healthy_share,potential_workers,span_ceiling,supply_ceiling,supply_realized,realization_ratio,vacancies_sex,jobs,demand,balance_ceiling,balance_realized
CZ,F,2021,2236.5,8.2,63.4,65.7,18.6,80.5,5323934.0,3.4,32.7,3257021.0,1245273.0,478.0,4588.7,8423.6,23444.8,32474.8,8196.0,227388.5,4.975,1,64.5,35.0,0.7875776397515528,2565156.9118012423,49.5,126975267.13416149,83880631.01590063,0.6606060606060606,100383.8021851128,2336883.8021851126,81790933.07647894,45184334.057682544,2089697.9394216835
CZ,F,2022,2223.5,7.7,62.4,67.2,19.8,81.9,5332932.0,2.8,33.4,3250058.0,1256328.0,562.6,5637.0,9718.9,25186.1,38158.3,8025.4,212900.75,4.725,0,64.5,35.0,0.7619047619047619,2476234.6666666665,49.5,122573615.99999999,82706237.86666666,0.6747474747474748,94267.84109464922,2317767.8410946494,81121874.43831272,41451741.56168726,1584363.4283539355
CZ,F,2023,2145.0,7.8,62.6,68.0,20.5,82.9,5519006.0,3.1,34.4,3385548.0,1278548.0,,,,28240.0,42821.7,8020.0,162029.75,3.675,0,64.5,35.0,0.7551266586248492,2556517.548854041,49.5,126547618.66827503,87944203.680579,0.6949494949494949,71070.03941475983,2216070.0394147597,77562451.37951659,48985167.28875844,10381752.30106242
CZ,F,2024,2267.0,8.2,63.2,68.3,20.6,83.0,5557945.0,3.0,34.8,3420347.0,1294312.0,,,,28968.0,42411.7,8218.2,147679.75,3.275,0,64.5,35.0,0.7614457831325302,2604408.8000000003,49.5,128918235.60000001,90633426.24000001,0.703030303030303,66819.01509859493,2333819.015098595,81683665.52845083,47234570.07154918,8949760.711549178
CZ,M,2011,2732.8,8.4,62.2,60.2,15.6,74.8,5147231.0,5.8,37.2,3705955.0,660301.0,519.1,6955.4,6973.1,12652.1,22333.3,6333.2,35989.25,0.9,0,64.5,35.0,0.8315508021390375,3081689.852941177,49.5,152543647.72058827,114638862.5294118,0.7515151515151516,20505.686133060903,2753305.686133061,96365699.01465714,56177948.70593113,18273163.514754653
CZ,M,2012,2731.7,8.3,62.3,60.4,15.7,75.1,5158210.0,6.0,37.5,3675822.0,691454.0,496.4,6860.7,6658.7,12541.7,22268.0,6566.6,38879.25,0.975,0,64.5,35.0,0.8295605858854861,3049317.051930759,49.5,150941194.07057258,114349389.44740346,0.7575757575757576,22078.965391971396,2753778.965391971,96382263.788719,54558930.28185359,17967125.658684462
CZ,M,2013,2742.1,8.5,62.5,60.6,15.7,75.2,5164349.0,5.9,37.8,3640265.0,723555.0,467.6,6793.1,6721.5,12096.1,22056.0,6596.2,35986.0,0.925,0,64.5,35.0,0.8311170212765957,3025486.203457447,49.5,149761567.07114363,114363378.49069148,0.7636363636363636,20363.030727006335,2762463.0307270065,96686206.07544523,53075360.99569839,17677172.41524625
CZ,M,2014,2763.5,8.5,63.4,61.0,16.1,75.8,5162380.0,5.1,38.1,3601234.0,751929.0,474.6,6681.7,6810.4,11934.1,21146.5,6787.2,52464.0,1.3,0,64.5,35.0,0.8364116094986808,3012113.9261213723,49.5,149099639.34300792,114761540.58522429,0.7696969696969698,29689.205062046938,2793189.205062047,97761622.17717165,51338017.165836275,16999918.40805264
CZ,M,2015,2775.2,8.0,62.4,61.0,15.9,75.7,5176927.0,4.2,38.2,3577437.0,778025.0,474.9,6998.2,7033.2,12791.9,21867.2,6667.9,92403.25,2.175,0,64.5,35.0,0.8243064729194187,2948904.4755614265,49.5,145970771.54029062,112648150.9664465,0.7717171717171718,51970.39081531322,2827170.3908153134,98950963.67853597,47019807.861754656,13697187.287910536
CZ,M,2016,2805.6,8.4,62.7,61.4,16.2,76.1,5186330.0,3.4,38.7,3550303.0,803418.0,457.6,7307.8,7546.4,13177.3,22538.2,6869.0,124142.5,2.875,0,64.5,35.0,0.8239159001314061,2925151.0919842315,49.5,144794979.05321947,113203347.25978976,0.7818181818181819,69438.02667517295,2875038.026675173,100626330.93363106,44168648.119588405,12577016.326158702
CZ,M,2017,2842.9,7.6,60.6,61.4,16.2,76.1,5200687.0,2.3,38.9,3526294.0,829745.0,443.3,7618.6,8022.7,14356.7,23935.8,7035.6,169939.25,3.8,0,64.5,35.0,0.7963206307490145,2808060.6622864655,49.5,138999002.78318006,109233559.7629435,0.7858585858585858,94842.908935197,2937742.908935197,102821001.8127319,36178000.97044815,6412557.9502115995
CZ,M,2018,2861.7,8.1,62.2,61.4,16.2,76.2,5219791.0,1.8,39.2,3508818.0,854429.0,452.9,7669.5,8328.8,15807.2,26110.4,7158.0,254309.0,5.525,0,64.5,35.0,0.8162729658792651,2864153.275590551,49.5,141775587.14173228,112274808.4031496,0.791919191919192,141396.97007907674,3003096.970079077,105108393.9527677,36667193.188964576,7166414.450381905
CZ,M,2019,2862.9,8.0,61.7,61.7,16.4,76.4,5244194.0,1.7,39.3,3499621.0,876863.0,489.6,7923.8,9166.4,17055.6,28239.3,7477.0,287517.0,6.175000000000001,0,64.5,35.0,0.8075916230366492,2826264.6034031413,49.5,139900097.8684555,111072198.91374344,0.7939393939393938,159800.50850320328,3022700.5085032033,105794517.79761212,34105580.07084338,5277681.116131321
